0.398092	0	-0.398092	-0.709405	-0.866077	-0.833955	-0.620042	-0.270968	0.137173	0.515413	0.781299	0.876872	0.781299	
0.375999	0	-0.375999	-0.670035	-0.818013	-0.787674	-0.585632	-0.255931	0.12956	0.486809	0.73794	0.828209	0.73794	
0.350628	0	-0.350628	-0.624824	-0.762816	-0.734524	-0.546116	-0.238661	0.120818	0.453961	0.688146	0.772325	0.688146	
0.3222	0	-0.3222	-0.574164	-0.700968	-0.67497	-0.501838	-0.219311	0.111022	0.417155	0.632353	0.709706	0.632353	
0.290962	0	-0.290962	-0.518498	-0.633008	-0.609531	-0.453184	-0.198049	0.100259	0.376711	0.571045	0.640899	0.571045	
0.257187	0	-0.257187	-0.458311	-0.559529	-0.538777	-0.400578	-0.175059	0.0886206	0.332982	0.504758	0.566503	0.504758	
0.22117	0	-0.22117	-0.394127	-0.48117	-0.463325	-0.34448	-0.150543	0.0762099	0.28635	0.43407	0.487168	0.43407	
0.183224	0	-0.183224	-0.326507	-0.398617	-0.383833	-0.285378	-0.124715	0.0631347	0.237222	0.359597	0.403585	0.359597	
0.14368	0	-0.14368	-0.25604	-0.312587	-0.300994	-0.223788	-0.0977988	0.0495089	0.186024	0.281989	0.316483	0.281989	
0.102884	0	-0.102884	-0.183341	-0.223832	-0.21553	-0.160246	-0.07003	0.0354515	0.133205	0.201922	0.226622	0.201922	
0.0611908	0	-0.0611908	-0.109043	-0.133125	-0.128188	-0.095307	-0.0416507	0.0210849	0.0792243	0.120094	0.134784	0.120094	
0.0189639	0	-0.0189639	-0.0337939	-0.0412573	-0.0397272	-0.029537	-0.0129081	0.00653452	0.0245527	0.0372188	0.0417716	0.0372188	
